0x30b9e8db,전사의 길
0x023d572e,"정상은 혹독합니다. 멀리까지 탐험하고 싶다면 추위에 대비해야 해요. 보온 충전재 키트로 따뜻한 방어구를 만들 수도 있고, 고기 스튜로 배를 든든하게 채우는 것도 방법이죠. 그도 안 된다면 횃불로 온기를 얻을 수도 있습니다. 불은 당신의 친구예요. 수단은 가릴수록 좋지요."
0x0248f25c,"음, 음악 활동을 다시 시작하려면 단순한 영감 이상의 무언가가 필요해요! 슬프게도 낡은 류트는 오래전에 버렸거든요. 그걸 되찾고 싶은 건 아니니 걱정 마세요! 제 영혼엔 뭔가 새롭고 신선한 게 필요해요. 전설적인 원반북이라면 딱 좋겠죠! 그런 희귀한 물건은 드락 사원 안에 숨겨져 있을 게 분명해요! 덤불 숲 깊은 곳에서 그 잊을 수 없는 선율을 들었거든요!"
0x024e5ecf,큰 행운과 번영이 가득하시길 기원합니다.
0x0262dc76,"자네에게 큰 도움이 되고 싶지만, 우선은 내 기술을 펼칠 수 있는 안식처와 침대가 있는 방이 필요하네. 나를 위해 거처를 좀 마련해 줄 수 있겠나?"
0x02a25ae8,"새로운 기분, 새로운 느낌, 새로운 시작이에요."
0x03e108e9,"화염의 후예여, 이런 식으로 살아남은 건가요? 아무 보호 장비도 없이 말입니까? 어서 은신처를 만드세요! 그래야 사냥에 필요한 물품들을 만들어 줄 수 있습니다."
0x03f0733c,세상은 싸울 가치가 있어요!
0x04994fe1,"다시 오셨군요, 환영해요!"
0x05374c21,밝고 푸른 눈은 왠지 신비로운 구석이 있단 말이죠. 당신도 그렇게 생각하죠?
0x05a09920,벌써 내가 지겹나? 하! 그래서 뭐 어쩌라고?
0x06b9bcb3,"이 새 <craftingstation>탁자 톱</craftingstation>만 있으면 아이디어가 아주 ""윙윙"" 솟구친다고... 뭔 말인지 알지! 그래, 한 손으로도 충분히 다룰 수 있어. 아무 문제 없다고!"
0x06e35333,"파란 눈은 대양처럼 깊을 수도, 하늘처럼 맑을 수도 있어요! 거기서 뿜어져 나오는 신비로움이 정말 사랑스럽다니까요!"
0x0701b520,"낚시하기 딱 좋은 날일세, 안 그런가?"
0x07324320,"엠버베일은 아직 구제 불능이 아니야... 재가 있는 곳엔 언제나 불씨가 남는 법이라네, 꼬맹아! 어둠의 안개가 골짜기들의 숨통을 조이고 있으니, 자네의 새 장비를 챙겨 영약의 우물을 찾아가게나. 그리고 우리 비극의 뿌리를 모조리 뽑아버려! 그 심연에 불을 지피고, 이 사악한 것들을 몽땅 태워버리란 말이다! 어서 가게, 자네만 믿겠네, 화염의 아이여!"
0x0776669d,작품은 시간이 걸리는 법이지! 가서 좀 쉬라고!
0x07c4e432,"그 ""뼈다귀 친구들""의 강렬한 모습이 머릿속을 떠나지 않네요. 정말 오싹하지만, 그만큼이나 매혹적이에요! 그 으스스한 느낌이 정말 최고라니까요!"
0x07e5b4a6,"그게 무엇인가...? 자네가 들고 있는 것 말일세. 균사체인가? 화염의 후예여, 조심하게나. 자네가 쥔 것은 아주 위험한 물건이라네. 그것은 질병이자 고통이지. 우리 세계를 집어삼키려는 곰팡이라네... 인간들은 그 식물의 살점에서 잠재력을 보았지만, 결국 재앙만을 불러왔을 뿐이야. 제발 그 물질을 멀리하게나. 그것은 종말의 표식일 뿐이니."
0x07e7a213,"화염의 후예여! 친구여, 자네에게 부탁하고 싶은 것이 있네!"
0x08b299c7,자네가 올 줄 알고 있었네.
0x08c36f23,잘 들으세요. 가죽을 보존하려면 <craftingstation>무두질 작업대</craftingstation>가 필요합니다. 유목민 고원의 누군가라면 가지고 있을지도 몰라요. 내리쬐는 햇볕 아래라면 가죽을 가공하기 훨씬 수월할 테니까요... 익숙한 눈보라도 없을 테고 말입니다. 그 지역 <npc>사냥꾼</npc>들이라면 <b><craftingstation>무두질 작업대</craftingstation>를 갖고 있을 수도 있습니다.</b> 주변에 단서가 있는지 알아보세요!
0x08f25169,"이보게, <keyitem>실험 도구</keyitem> 없이는 나도 손을 쓸 수가 없다네!"
0x0917a61f,가서 해치워버려!
0x0949b0cd,"여어, 누가 돌아왔나 보군!"
0x0a645ec9,"인내와 정성이 필요해요, 친구!"
0x0acae0c5,"오, 톡 쏘는 향의 허브차를 가져오셨군요. 이 색깔... 낯익은데요. 이게 뭐더라? 사프... 아니, 말하지 마세요. 가장 밝은 붉은색 향신료인 사프란이군요, 당연하죠! 흐음... 밝은 빨간색이라? 아주 근사한 새 색상이 탄생하겠는걸요! 아, 별들에게 감사를! 물론 당신에게도요! 차를 들고 제 살롱 의자에 앉으세요! 제가 마법 같은 색을 입히는 동안 차의 풍미를 만끽하시라고요!"
0x0af12034,"아, 상쾌한 기분이에요! 마치 수만 년 동안 잠들었던 것만 같네요! 오, 제 이름은 안톤 고드윈이에요! 만나서 정말 반가워요, 새로운 친구분!"
0x0aff40bc,"지금 내가 보고 있는 게 우리 이모인가? 기막히군! 정말 대단해! 그것도 그냥 이모가 아니라 내가 가장 좋아하던 브레일린 이모잖아! 고맙다, 화염의 후예! 가족을 찾아달라고 했을 땐 반쯤 농담이었는데 말이야!"
0x0badec71,"아아... 수많은 영혼... 그에 비하면 턱없이 부족한 시간... 날 도와줄 동료 양치기가 한 명만 더 있었어도 좋았으련만. 생애도 얼굴도 모두 씻겨 내려가 내가 채워줄 수 있는 빈 껍데기, 내가 다시 빚어낼 수 있는 인간이라는 이름의 진흙 덩어리 말일세. 느껴지는군. 이승과 저승 사이의 간극을 떠돌고 있어. 그 녀석을 내게 데려오게!"
0x0c011786,요즘 자꾸 의문이 생기는데... 부카 놈들은 원래 동굴에만 처박혀 지내는 침울한 짐승이었거든. 그런데 갑자기 화가 잔뜩 나서 동쪽으로 이동하더라고... 조사가 좀 필요할 것 같아. 놈들이 <b>모이는 장소</b>에 가면 답을 찾을 수 있을지도 모르지. 저놈들이 뭘 꾸미는지 알아내야 해...
0x0c9d6c58,기분 좋은 항해가 되길 바라네.
0x0cc48135,"카피바라를 기르게 되면 이름을 카르민이라고 지을까 봐요. 아니면 카피바라 대장? 아니면 카푸들 우들? 아, 후보가 너무 많네요..."
0x0cd2386c,우리의 불꽃은 여전히 타오르고 있군.
0x0e06edf6,"숨 쉬고 있나? 확인. 다리는? 멀쩡해. 발길질도 할 수 있겠네. 코는? 이제 안 부러졌고. 머리는... 환각일지도 모르겠군! 너, 진짜 맞지? 만나서 반가워! 난 브레일린 호손이야. 여행자이자 목수, 그리고 조카 사랑이 지극한 이모지. 네가 여기를 건설한 거야...? 석조물이 정말 대단하네! 여행 중에 몇 가지 기술을 배웠거든. 일손이 필요하면 언제든 불러!"
0x0e62de14,영혼들의 인도가 함께하기를.
0x0ea5577c,"바쁜 와중에 미안하네, 친구여. 하지만 내 <craftingstation>막자사발</craftingstation>이 있었다면... 정말 큰 도움이 되었을 텐데 말이야!"
0x0f312039,이제 영약의 우물 중 한 곳에서 퍼져나오는 저 가증스러운 어둠의 안개를 걷어낼 준비가 됐군. 반격을 시작하자고!
0x0f463408,"어렸을 땐 가진 게 별로 없어서 주변에 널린 것들을 가지고 놀았어요. 제가 가장 좋아하던 소일거리는 돌멩이를 주워 예쁜 색을 칠하는 거였죠. 하지만 어떤 돌은 그냥 둬도 정말 아름다웠어요. 붉은 대리석이나 석영, 심지어 현무암도 본연의 아름다움을 간직하고 있단 생각 안 드세요? 그런 정적인 고요함을 담은 색채 팔레트가 있으면 좋겠네요. 돌이 아주 많은 곳이라... 아마 <location>알바네브 봉우리</location>라면 찾을 수 있을지도 모르겠네요!"
0x0f8e0dc4,자네의 피가 얼어붙을 때까지.
0x0fa60520,뭔가 낚아온 모양이구먼...
0x0fc7dbb1,"이런 맨바닥에서는 무리지만, 대장간만 있으면 자네에게 도움이 될 온갖 물건들을 만들어 줄 수 있다네!"
0x10167825,"화, 화, 화염의 후예..."
0x10450db0,만나 봬서 반갑습니다.
0x105aebf8,"나더러 속물이라고 하진 말아줘. 그냥 옛 세계의 패션이 그리워서 그러니까. 밝은 색상에 화려한 옷감, 그걸 입은 아름다운 사람들과 그보다 더 눈부신 부귀영화까지... 혹시 그때 쓰던 옷감을 지금도 찾을 수 있을까? 밑져야 본전이잖아!"
0x10785930,케이드가 절 구하려고 당신을 보냈다고 들었어요. 그는 제가 저지대 목초지에 들를 때마다 제 물건을 칭찬하던 오랜 친구이자 단골이죠. 제게서 등불을 사 간 적도 있답니다. 그 등불을 다시 한번 볼 수 있다면 더 많이 제작할 수 있을 거예요. 케이드에게 그 등불에 대해 물어봐 주시겠어요?
0x11f76d0c,"세상에, 이것 좀 보세요! 물결처럼 태양 빛을 반사하며 이토록이나 눈부시게 반짝이는 걸 찾아내셨군요! 아, 이 수정만 보고 있어도 영감이 마구 샘솟는 것 같아요. 당장 작업을 시작해 보죠!"
0x120d98b1,마침내 금이구나! 욕조를 금화로 꽉 채워서 수영이나 해보자고!
0x121b1c03,"자네도 이제는 <b>망자</b>와 마주쳤겠지. 분노와 <b>화염의 저주</b>로 움직이는 해골 껍데기들 말일세. 전설에 따르면 그것들은 기원을 알 수 없는 <b>거대한 지하 전당</b>으로 추방되었다고 하더군... 나도 연구 중에 그런 전당을 하나 발견했지만, 도저히 들어갈 수가 없었네. <i>자네라면 가능할지도 모르지.</i> 아래로 내려갈 생각이라면 되도록 <b>팀</b>을 꾸려보는 게 좋을 게야!"
0x128ba3b8,"아! 무언가 만들고 싶어 근질근질하군! 새로운 재료 좀 제련해야 하는데, 도와줄 수 있겠나?"
0x1300a7d9,정말 작고 아름다운 영혼을 데려왔군. 이곳에서의 생은 걱정하지 말게... 내가 쓰임새 있게 다시 빚어줄 터이니.
0x13d1bb9c,태양이 그대의 앞길을 비추길.
0x13e5cf80,"새로운 날, 새로운 기회로군요."
0x13efff72,"자네 갑옷에 아직 고양이 털이 묻어있지 않은 걸 보니, 수색이 끝나지 않은 모양이군. 이건 내게 아주 소중한 문제라네. 부디 내 부탁을 진중하게 고려해 주게나!"
0x145c570c,"아, 안녕..."
0x148b4636,"다들 당신을 믿고 의지하지만, 대담한 용기는 질투를 부르는 법이죠. 전 그... ""뼈다귀 친구들"" 생각을 하고 있었어요. 아, 물론 ""망자""들 말이에요. 녀석들은 질투로 이글거리고 있는데, 그 으스스한 광채가 항상 절 매료시켰거든요! 제가 더 어리고 반항적이었을 때는 수도 근처의 묘지 주변을 서성거리며 힐끔거리기도 했지만, 감히 지하실에 들어갈 엄두는 못 냈죠. 과연 그 안에는 뭐가 들어 있을까요?"
0x152aa8ce,"화염의 아이야! 얼마 전에 묘한 일이 있었네... 쪽지를 한 장 받았거든. 한번 보게나. ""콘웨이 가문이 전하는, 레이건으로부터의 서신""이라... 난 레이건이라는 사람은 만난 적이 없지만, 콘웨이 가문은 잘 알고 있지. 동쪽에서 활동하던 전령들이라네. 아마 이 메시지를 전하려고 무역 거점인 ""이글거리는 바위""를 거쳐 왔을 거야. 자네가 가서 조사해 줄 수 있겠나?"
0x159c22f1,새로 발견한 것이라도 있는가?
0x15cd9165,"이리 와요, 화염의 후예여. 당신에게 부탁할 게 하나 있거든요."
0x16510a62,"이제 우리 모두가 모인 것 같군. 예상보다 훨씬 적은 수라 조금 빈약해 보일 수도 있겠네... 우리의 재의 방주가 이 정도밖에 지켜내지 못했으니 말이야. 하지만 그럼에도 우리는 굳건히 서 있네. 친구여, 우리가 힘을 합쳐 자네의 불꽃을 키워주겠네. 자네의 빛이 이 땅의 저 멀리 구석구석까지 닿기를 바라네!"
0x17235a3d,더 필요해? 말만 하라고!
0x177810b1,"화염의 후예이자 친애하는 친구여, 대지가 독기로 몰아치며 진동하고 있네! 아래로 내려가 저 영원한 분노를 잠재워 주게나!"
0x17781a24,기술을 연마할수록 화염의 힘도 커진다. 어둠의 안개에 맞서는 고된 여정 속에서 네 기술에 맞는 최적의 길을 선택해야만 하노라.
0x17ffd45e,자네는 돌아오게 될 걸세. 늘 그랬던 것처럼 말이야.
0x182983ed,물레를 만드는 건 어렵지 않아요. 내가 어떻게 만드는지 알려주겠어요!
0x195b5202,"화염의 후예여, 목소리를 낮추어라. 서서히 밀려오다가 이내 집어삼킬 듯 부서지는 고요한 파도 소리가 들리느냐? 바다의 소금기와 땀 냄새가 느껴지느냐? 상록수 유역 속에 숨겨진 푸른 빛이 보이나, 이 잔잔한 물결에도 파문은 이는 법. 먼 옛날 흘려진 피 한 방울이 바다를 더럽히고 이제 우리 해안까지 밀려와 사악한 악령을 불러내고 있구나... 잊혔으나 모두가 아는 그 존재들 말이다. 이 시련을 견뎌내려면 우릴 이끌어줄 인도자와 예리한 칼날이 필요하노라."
0x1a0dafd6,"그럼 망자 놈들이 드글거리는 그 끔찍한 지하 묘지가 실재한다는 건가? <lorename>엘린</lorename> 이모가 이야기를 해주곤 했지만... 뭐, 알다시피 그 이모가 좀 수다쟁이여야지. 하지만 늙은 발타자르가 직접 봤다면 사실이겠군. 아, 그 재료들을 생각해봐! 그 건축물! 그 보물들!! 내 이 짧은 다리로도 갈 수 있다면 얼마나 좋을까!"
0x1aec0a7e,"세상에, 얘가 대체 어디 있는 거죠? 제 딸 마리안을 잃어버렸어요! 아무리 찾아봐도 보이지 않아요, 바람처럼 사라졌다고요! 제발 도와주세요!"
0x1b0c2da3,자네의 무사안녕을 기도하겠네!
0x1b435de0,걸렸다! 월척이야!
0x1b65dfb3,심장을 꿰뚫으세요.
0x1b985191,야생의 물가에 너무 오래 머물면 안 돼요! 물밑에 어떤 위험이 도사리고 있을지 누가 알겠어요?
0x1bbf45c0,"그 영구 주문들을 찾아내다니, 정말 잘해주었네."
0x1c5eaf6c,머리를 매만지는 일이야말로 제 삶의 열정이죠!
0x1db94326,네 자신을 넘어 불꽃 속을 들여다보아라. 모든 것이 밝혀질 것이니라. 이제 나아가 탐험하거라.
0x1dc93ac8,뭐 더 필요한 건?
0x1e5eb605,"쉿, 멋쟁이 친구. 이리 가까이 와 봐요. 당신에게만 들려줄 비밀이 있다고요!"
0x1e7d73bd,"어머, 거기요! 방금 물고기를 잡으신 게 당신인가요? 역시 그렇군요. 당신에게 드릴 유용한 조언이 하나 있어요."
0x1eaf2e54,자네를 보니 정말 반갑구먼.
0x1f28cc04,"안식처가 필요하네, 친구여. 내 물약도 도구들도 <b>안식처</b> 없이는 아무 쓸모가 없다네. 내가 제대로 일할 수 있도록 침대가 있는 방을 하나 만들어 주게나!"
0x1f321d9f,"<craftingstation>검은 가마솥</craftingstation>이라니! 정말 환상적이군, 친구여! 우리 함께 번창해 보세나!"
0x1f80d2aa,영약의 우물을 잘 처리했군. 앞으로도 그렇게만 하면 분명 유명해질 거야!
0x1fba2908,"춥고 비정한 망자의 전당 심연은 내 집 노릇을 하기에 충분히 길었지. 더군다나 이 굴에 내려오기 전 아스라한 기억 속에서는 눈부신 북풍의 고동이 떠오른다네... 그곳의 추위와 속박에 시달릴 만큼 시달렸어. 부디 이 늙은 영혼을 뜨겁게 달궈줄 근사한 지붕과 화로를 마련해 주게, 친구여."
0x1fbaff2b,"네 칼날이 드락 우두머리의 목을 벤 모양이구나. 하나가 쓰러지면 수많은 이들이 그 자리를 차지하려 들 것이며, 지배권을 향한 사투와 책략에 얽매이게 되겠지. 내일이면 이 흘려진 피에서 새로운 생명이 태어나겠으나, 오늘만큼은 우리를 강하게 해줄 것이니라."
0x1ffbfac9,내 솜씨 좀 구경해볼 텐가?
0x2003d0eb,또 찾아주세요.
0x20b71e04,바람이 늘 함께하기를.
0x20f70486,혹시 설날을 기념하시나요? 새로운 가구가 필요하신가요? 제가 계곡으로 가던 길에 <location>켈빈 요새</location> 사람들에게 장식용 식물을 좀 팔았답니다. 하지만 그 아름다운 식물을 감상할 사람이 없다면 너무 아깝잖아요. 우리가 그걸 바꿔보는 건 어떨까요!
0x21023b47,머리를 다듬어 보세요! 세상을 보는 눈이 달라질 거예요!
0x2159c16c,"불꽃이 네놈에게 날개를 달아주진 않는다고, 꼬맹아! <craftingstation>작업대</craftingstation>에서 <b>글라이더를 제작</b>해 봐. 돌아다니기가 훨씬 수월해질 테니까. 너처럼 용감한 녀석에겐 딱이지. <b>글라이더를 사용하면 지구력이 소모</b>된다는 걸 잊지 마라. 뭐, 내가 보기엔 넌 충분히 버텨낼 수 있을 것 같지만 말이야!"
0x21638702,이게 내 마지막 모습은 아닐 걸세.
0x218aa752,"두, 두, 두, 두두두, 두, 두, 두... 어머, 거기 있는 줄 몰랐네! 내 즉석 연주회에 온 걸 환영해. 온 김에 나 좀 도와줄래? 이 흐름에 맞는 악기는 없지만, 솥뚜껑처럼 생긴 원반북을 쓰면 딱 좋을 것 같거든! 베일워터 분지에서만 쓰는 물건이라 다른 데서는 구하기가 쉽지 않아. 혹시 너라면 무역 거점 같은 데서 구할 수 있지 않을까?"
0x219c47e5,"세상에, 믿기지가 않는군! 내 딸이야, 자네가 내 딸을 데려와 줬어!"
0x21c2f533,낚싯대가 쉴 틈이 없게 하게나!
0x21caeb58,오셔서 등불의 따스한 빛을 느껴보세요.
0x21dc81ec,사냥꾼에게 첫 낚시 성공 소식을 들었어요! 정말 대단한 성과네요. 물고기는 구워야 제맛도 나고 효과도 좋아진답니다. 잠수할 때 산소량을 늘려준다는 말도 들었다니까요!
0x226a069d,"어서 와요, 달링."
0x22b1af08,"모험과 부에 대한 잊힌 약속으로 가득했던 유목민 고원이로다. 그 이면은 황무지이며, 정죄 받은 자들의 사냥터지. 낮은 곳의 자들은 저 먼 아침햇살의 금빛 줄기를 손끝으로 더듬으며, 위쪽에서 빛나는 새벽을 올려다보노라. ""충분함""이란 언제나 닿을 수 없는 곳에 있느니라."
0x22b26a5e,계속 연습하세요. 언젠가는 더 큰 물고기를 잡을 수 있을 겁니다!
0x23070a89,"화염의 아이여, 우리의 터전이 활기를 되찾고 있군. 덕분에 내 안에도 새로운 희망이 피어오르고 있네. 혹시 그 정체불명의 편지와 자네가 찾아준 연장들을 기억하나? 그늘진 계곡 너머에서 나에게 연락을 취할 만한 사람은 오직 한 사람뿐이야. 어쩌면 헛수고일지도 모르겠지만... 만약 내 딸 로셸이 어딘가에 살아있다면, 제발 그 아이를 찾아달라고 부탁하고 싶네."
0x23219579,"그래, 저 깊은 곳에 가라앉아 있던 날 자네가 건져냈군?"
0x234df2f2,지붕이 있는 장소만 마련된다면 생존 도구를 만들어 줄 수 있어요. 동굴이 더 좋긴 하겠지만... 당분간은 평범한 <b>은신처</b>라도 감지덕지겠죠.
0x23d22f2d,"화염의 후예여! 내가 엄청난 발견을 해냈다네! 그래, 친구여, 드디어 별들이 우리를 향해 미소 짓는군! 바람의 흐름을 타고 그 너머까지 솟구쳐 오를 수 있는 전설적인 <b>글라이더</b>라네. 그 무엇보다 가치 있는 물건이지! 어서 그것을 찾아 어치처럼 하늘을 누벼보게나, 친구여!"
0x2443d0a6,고대 유적지에는 어둠의 안개에 침묵한 목소리들이 실려 있노라. 하지만 어둠 속에 여전히 깜빡이는 불꽃이 남아 있지. 한때 대륙에서 가장 용맹했던 <npc>사냥꾼</npc>과 세대의 지혜를 간직한 <npc>연금술사</npc>이니라. 그들을 깨워라. 너의 여정에 큰 힘이 되어줄 것이다.
0x246c5666,내 도움이 필요한가?
0x246cda1c,순풍에 돛 달고 나아가게나!
0x246f6e15,"어머, 내 정신 좀 봐! 체스터 로프트를 가져왔구나? 난 그가 허니듀스에서 한 작업을 정말 좋아하거든! 이제 새 밴드를 함께 만들 수 있겠어!"
0x24812053,이제 여자 홀로 음악을 연주하고 다니는 데는 이력이 났어. 나와 함께 어울려줄 동료를 찾고 있거든! 당신처럼 리듬 좀 탈 줄 아는 전문가라면 환영이지. 베일워터 분지에서 리듬감 있는 사람을 찾는 건 그리 어렵지 않아. 예전엔 크롬빌에 악사들이 참 많았거든. 길거리에서 공연도 자주 했고. 영주님을 위해 세레나데를 연주하러 불려가기 전까진 나도 그들 중 한 명이었으니까! 하지만 그 이야기는 다음에 들려주기로 하고...
0x24c27576,내 말이 맞았군요! 생존자가 더 늘다니 좋습니다. 머릿수가 곧 힘이지요. 쉬지 말고 계속 정진하세요.
0x24cfe5a7,불어오는 미풍을 들이마실 때마다 알 수 없는 불길함이 내 폐 속으로 가라앉는 기분이야. 이게 대체 뭘까? 또 다른 저주일까? 어둠의 안개라고? 어리석은 자와 용맹한 자를 질식시키는 사악한 안개라... 영원을 넘어선 이들에게 그런 필멸자의 문제는 아무런 상관도 없지. 화염의 손길이 닿은 자네와 나는 그럼에도 계속 나아갈 걸세.
0x24e5b460,내 망치만 있으면 다 고칠 수 있다네!
0x2597d24f,이 물약이 있으면 몸을 안전하게 지키기가 훨씬 수월해질 거예요.
0x261a0c98,나중에 또 보자고!
0x26286a05,"고대인께 찬양을, 제 <keyitem>가마솥</keyitem>를 찾아오셨군요! <lorename>라울</lorename>은 잘 지내던가요? ...아. 제가 잠든 사이에 그의 시간은 다 흘러가 버렸군요. 그럼 정말 우리만 남은 건가요... 너무 시리네요. 그를 기리며 불을 지펴야겠어요. 그 <keyitem>가마솥</keyitem>로 <b>벽난로</b>를 만들면 금방 따뜻해질 거예요."
0x26dbd76c,낚은 물고기는 어디 있나?
0x278182c1,"와, 음식 향이 정말 좋네요! 게다가 추위로부터 당신을 보호해 줄 거예요!"
0x278c0929,"화염의 후예여, 저에게 잠시 시간을 내주시겠어요?"
0x2834ade5,"저기요, 생선 수프는 이제 정말 지긋지긋해요. 이제 요리 범위를 넓혀서 다른 해산물도 시도해보고 싶거든요. 저를 위해 다른 바다 생물을 좀 사냥해 주실 수 있나요? 게 같은 거 말이예요! 그래야 제가 어떤 재료로 요리하게 될지 알 수 있을 테니까요."
0x285e20b8,머리 스타일 정말 멋지네요. 당신도 마음에 드나요?
0x28864be9,네 내면의 화염이 상상할 수 없을 만큼 성장했구나. 어둠의 안개나 영약에 물들지 않은 제작 조수를 찾아냈군. 소환 지팡이로 그들을 소환해 이 세계를 재건하고 공정하게 다스리거라!
0x298caa83,도움이 필요하세요?
0x29e5704d,당신이 가져온 이 공기 헬멧은 흥미로운 장치군군요. 다음에 한 번 빌려 가도 되겠습니까?
0x2a075a48,"오, 참으로 고운 피부를 가졌구먼."
0x2a187b0c,자네 꿈에서 다시 만나기로 하지.
0x2a7fd6e1,"자네, 심장이 강철로 만들어진 게 분명하구먼, 꼬맹아."
0x2abbe90c,"화염의 수호자여, 마법의 유물을 잊지 말게... 자네를 부르고 있으니."
0x2af7ab0c,"아, 정말 지겨워서 미치겠어요! 이 따분함에서 날 구해줄 용감한 영웅이 어디 없을까요!"
0x2b09b177,"완벽하네, 친구여! 자네는 언제나 맡은 일을 훌륭히 완수해내는군. 우리가 <keyitem>실험 도구</keyitem>를 갖춘 연구소를 만들어내기만 한다면, 상상을 초월하는 <b>치유 아이템들을 제작</b>할 수 있을 걸세!"
0x2b21d509,"으윽, 물이 필요해요! 몇 년 동안 목이 타들어 간 기분이라... <lorename>파이크미드</lorename>의 명예를 걸고, 제 구세주께 통성명도 하지 않았군요. 저는 라몬 존스예요. ""파이크 주간지""의 편집장이죠. 제 기사를 읽어보신 적이 있나요?"
0x2b72a46e,이제 생선구이 없이는 못 살 걸요?
0x2ba492da,그 미치광이의 마법이 남긴 흔적들을 계속 찾아보게나.
0x2bf7d3a6,너무 무리하지 마세요!
0x2c40cf74,나도 다른 이들과 마찬가지로 <location><lorename>파이크미드</lorename> 리치</location>에 살고 있었지... 그쪽 방향에서 사악한 기운이 느껴지는군. 분명 뭔가 무시무시한 일이 일어나고 있을 거야.
0x2c4a14ab,불꽃이 있는 곳에 희망이 있는 법이지.
0x2d371cfc,"이제 사람 얼굴이 꽤 많이 보이네. 고향에 온 것 같은 기분이야. 나한테 이모가 일곱 분이나 있었거든. 그중에서도 브레일린 이모를 제일 좋아했지. 여행 다니면서 사원이나 다리, 성탑 같은 멋진 건축 스케치를 보내주시곤 했거든! 그러다 내가 정말 어릴 때 검은 수렁으로 떠나시더니 다시는 돌아오지 않으셨어... 돌아오셔서 좀 도와주셔야 하는데 말이야! 이모는 일곱이나 되는데 일은 많고, 난 손이 하나뿐이잖아! 하!"
0x2d8f8fae,내가 아끼던 <craftingstation>막자사발</craftingstation>을 잃어버렸다네. 아무래도 <b><location>외톨이 엉겅퀴</location>에 있는 내 탑의 가장 깊숙한 곳</b>에 남겨진 것 같군... 부디 나를 위해 그것을 찾아주게나. 막자사발이 수중에 들어온다면 내 능력도 훨씬 강력해질 것이네!
0x2db20fe0,<lorename>엘린</lorename> 이모 이야기는 잊지 않았겠지? 그 귀신 들린 태양 사원에 뭔가 구린 게 분명히 있어!
0x2e9593c9,기분은 좀 어떠신가요?
0x2ed68fd0,"난 이 바닥에서 꽤 오래 굴러먹었단다, 얘야. 이제 웬만한 건 무섭지도 않아. <npc>수집가</npc> 그자도 마찬가지지. 비밀이 좀 있긴 해도 든든한 아군인 건 분명해. 장막이니, 삶과 죽음이니 떠드는 그 모든 이야기들... 정말 죽은 자를 되살릴 수도 있는 걸까? 그럴 수만 있다면 어떤 대가라도 치를 텐데..."
0x2eee2f11,"야호, 새로운 머리 색상이에요! 후련해라, 이제야 다시 살맛 나네요!"
0x2f5734a3,그게 다입니까?
